filing_id,amendment_id,line_item,employer_last_name,employer_first_name,employer_full_name,fees_amount,reimbursement_amount,advance_amount,period_total,cumulative_total,form_type,payment_tier,is_alameda
1506463,0,6,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,1976.0,0.0,0.0,1976.0,5318.0,F625P2,Medium (1K+),True
1462852,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,0.0,0.0,0.0,0.0,2507.5,F625P2,Low (<1K),True
1567320,0,7,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,416.0,0.0,0.0,416.0,6930.0,F625P2,Low (<1K),True
1621554,0,4,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,0.0,0.0,0.0,0.0,464.0,F625P2,Low (<1K),True
1608792,0,4,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,78.0,0.0,0.0,78.0,464.0,F625P2,Low (<1K),True
1591041,0,5,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,386.0,0.0,0.0,386.0,386.0,F625P2,Low (<1K),True
1636552,0,4,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,54.0,0.0,0.0,54.0,518.0,F625P2,Low (<1K),True
1735872,0,3,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,0.0,0.0,0.0,0.0,1298.0,F625P2,Low (<1K),True
1764153,0,2,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,4061.5,101.7,0.0,4163.2,4163.2,F625P2,Medium (1K+),True
1780350,0,2,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,9483.5,0.0,0.0,9483.5,13646.7,F625P2,Medium (1K+),True
1708226,0,4,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,0.0,0.0,0.0,0.0,1298.0,F625P2,Low (<1K),True
1678882,0,4,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,585.0,0.0,0.0,585.0,1298.0,F625P2,Low (<1K),True
1678882,1,4,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,585.0,0.0,0.0,585.0,1298.0,F625P2,Low (<1K),True
1656554,0,4,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,195.0,0.0,0.0,195.0,713.0,F625P2,Low (<1K),True
1800273,0,2,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,729.0,124.02,0.0,853.02,14499.72,F625P2,Low (<1K),True
1910729,1,2,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,0.0,0.0,0.0,0.0,15039.72,F625P2,Low (<1K),True
1845208,0,2,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,540.0,0.0,0.0,540.0,15039.72,F625P2,Low (<1K),True
1870898,0,2,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,0.0,0.0,0.0,0.0,15039.72,F625P2,Low (<1K),True
1816006,0,2,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,0.0,0.0,0.0,0.0,14499.72,F625P2,Low (<1K),True
1910729,0,2,ALAMEDA ALLIANCE FOR HEALTH,,ALAMEDA ALLIANCE FOR HEALTH,0.0,0.0,0.0,0.0,15039.72,F625P2,Low (<1K),True
1281139,0,1,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,6000.0,288.0,0.0,6288.0,6288.0,F625P2,Medium (1K+),True
1295303,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,0.0,0.0,0.0,0.0,6288.0,F625P2,Low (<1K),True
1306983,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,10000.0,480.0,0.0,10480.0,16768.0,F625P2,High (10K+),True
1295303,1,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,0.0,0.0,0.0,0.0,6288.0,F625P2,Low (<1K),True
1328187,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,10000.0,480.0,0.0,10480.0,27248.0,F625P2,High (10K+),True
1375765,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,0.0,0.0,0.0,0.0,38252.0,F625P2,Low (<1K),True
1397235,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,15720.0,0.0,0.0,15720.0,53972.0,F625P2,High (10K+),True
1421793,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,17232.0,0.0,0.0,17232.0,17232.0,F625P2,High (10K+),True
1345711,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,10500.0,504.0,0.0,11004.0,38252.0,F625P2,High (10K+),True
1438097,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,3144.0,0.0,0.0,3144.0,20376.0,F625P2,Medium (1K+),True
1397235,1,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,15720.0,0.0,0.0,15720.0,53972.0,F625P2,High (10K+),True
1438097,2,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,3144.0,0.0,0.0,3144.0,20376.0,F625P2,Medium (1K+),True
1450470,3,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,10200.0,0.0,0.0,10200.0,30576.0,F625P2,High (10K+),True
1464881,1,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,0.0,0.0,0.0,0.0,30576.0,F625P2,Low (<1K),True
1450470,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,10200.0,0.0,0.0,10200.0,30576.0,F625P2,High (10K+),True
1421793,1,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,17232.0,0.0,0.0,17232.0,17232.0,F625P2,High (10K+),True
1438097,1,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,3144.0,0.0,0.0,3144.0,20376.0,F625P2,Medium (1K+),True
1450470,1,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,10200.0,0.0,0.0,10200.0,30576.0,F625P2,High (10K+),True
1450470,2,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,10200.0,0.0,0.0,10200.0,30576.0,F625P2,High (10K+),True
1464881,0,2,ALAMEDA COMMUNITY LEARNING CENTER,,ALAMEDA COMMUNITY LEARNING CENTER,0.0,0.0,0.0,0.0,30576.0,F625P2,Low (<1K),True
1655187,0,45,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
1777183,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",12000.0,0.0,0.0,12000.0,28000.0,F625P2,High (10K+),True
1730469,0,5,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",8000.0,0.0,0.0,8000.0,36000.0,F625P2,Medium (1K+),True
1763220,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",16000.0,0.0,0.0,16000.0,16000.0,F625P2,High (10K+),True
1701504,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",8000.0,0.0,0.0,8000.0,28000.0,F625P2,Medium (1K+),True
1675251,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",20000.0,0.0,0.0,20000.0,20000.0,F625P2,High (10K+),True
1813895,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",0.0,0.0,0.0,0.0,36000.0,F625P2,Low (<1K),True
1796937,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",8000.0,0.0,0.0,8000.0,36000.0,F625P2,Medium (1K+),True
1906312,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",6000.0,0.0,0.0,6000.0,78000.0,F625P2,Medium (1K+),True
1869939,0,23,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",12000.0,0.0,0.0,12000.0,72000.0,F625P2,High (10K+),True
1841049,1,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",24000.0,0.0,0.0,24000.0,60000.0,F625P2,High (10K+),True
1841049,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",24000.0,0.0,0.0,24000.0,60000.0,F625P2,High (10K+),True
1976130,1,75,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",9000.0,0.0,0.0,9000.0,18000.0,F625P2,Medium (1K+),True
1993356,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",6000.0,0.0,0.0,6000.0,24000.0,F625P2,Medium (1K+),True
1976130,0,75,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",9000.0,0.0,0.0,9000.0,18000.0,F625P2,Medium (1K+),True
2005549,0,35,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",9000.0,0.0,0.0,9000.0,33000.0,F625P2,Medium (1K+),True
1976130,2,75,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",9000.0,0.0,0.0,9000.0,18000.0,F625P2,Medium (1K+),True
1934468,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",9000.0,0.0,0.0,9000.0,87000.0,F625P2,Medium (1K+),True
1962456,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",9000.0,0.0,0.0,9000.0,9000.0,F625P2,Medium (1K+),True
2624802,0,18,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",7500.0,0.0,0.0,7500.0,45000.0,F625P2,Medium (1K+),True
2599508,0,18,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",37500.0,0.0,0.0,37500.0,37500.0,F625P2,High (10K+),True
2580615,0,18,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
2599508,1,18,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",37500.0,0.0,0.0,37500.0,37500.0,F625P2,High (10K+),True
2599508,2,18,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",37500.0,0.0,0.0,37500.0,37500.0,F625P2,High (10K+),True
2624802,1,18,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",7500.0,0.0,0.0,7500.0,45000.0,F625P2,Medium (1K+),True
2644940,0,18,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",30000.0,0.0,0.0,30000.0,75000.0,F625P2,High (10K+),True
2746658,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",15000.0,0.0,0.0,15000.0,135000.0,F625P2,High (10K+),True
2677444,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",22500.0,0.0,0.0,22500.0,97500.0,F625P2,High (10K+),True
2707463,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",22500.0,0.0,0.0,22500.0,120000.0,F625P2,High (10K+),True
2811987,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",15000.0,0.0,0.0,15000.0,15000.0,F625P2,High (10K+),True
2835694,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",44000.0,0.0,0.0,44000.0,74000.0,F625P2,High (10K+),True
2809249,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",30000.0,0.0,0.0,30000.0,30000.0,F625P2,High (10K+),True
2782025,0,2,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",22500.0,0.0,0.0,22500.0,157500.0,F625P2,High (10K+),True
2852594,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",48000.0,0.0,0.0,48000.0,122000.0,F625P2,High (10K+),True
2882986,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",42000.0,0.0,0.0,42000.0,164000.0,F625P2,High (10K+),True
2980130,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",30000.0,0.0,0.0,30000.0,260000.0,F625P2,High (10K+),True
2911328,1,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",46000.0,0.0,0.0,46000.0,210000.0,F625P2,High (10K+),True
2936524,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",20000.0,0.0,0.0,20000.0,230000.0,F625P2,High (10K+),True
2911328,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",46000.0,0.0,0.0,46000.0,210000.0,F625P2,High (10K+),True
3012178,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",30000.0,0.0,0.0,30000.0,290000.0,F625P2,High (10K+),True
3041546,0,1,"ALAMEDA, CITY OF",,"ALAMEDA, CITY OF",30000.0,0.0,0.0,30000.0,30000.0,F625P2,High (10K+),True
1783479,0,2,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,0.0,F625P2,Low (<1K),True
1866831,0,2,CITY OF ALAMEDA,,CITY OF ALAMEDA,15000.0,0.0,0.0,15000.0,62500.0,F625P2,High (10K+),True
1844865,0,2,CITY OF ALAMEDA,,CITY OF ALAMEDA,22500.0,0.0,0.0,22500.0,47500.0,F625P2,High (10K+),True
1813348,0,2,CITY OF ALAMEDA,,CITY OF ALAMEDA,0.0,0.0,0.0,0.0,25000.0,F625P2,Low (<1K),True
1800392,0,2,CITY OF ALAMEDA,,CITY OF ALAMEDA,25000.0,0.0,0.0,25000.0,25000.0,F625P2,High (10K+),True
